subject_id,task_modality,beh_trials,beh_high,beh_low,grip_trials,other_modality,other_modality_has_grip,other_modality_grip_trials,beh_retainable,drop_aborted
BAP001,aud,145,74,71,0,vis,False,0,True,False
BAP001,vis,135,74,61,0,aud,False,0,True,False
BAP102,vis,149,74,75,0,aud,True,90,True,False
BAP103,aud,120,72,48,0,vis,True,60,True,False
BAP104,vis,149,75,74,0,aud,True,30,True,False
BAP107,aud,134,68,66,0,vis,True,30,True,False
BAP108,aud,150,75,75,0,vis,False,0,True,False
BAP108,vis,150,75,75,0,aud,False,0,True,False
BAP110,aud,146,71,75,0,vis,True,30,True,False
BAP114,aud,148,74,74,0,vis,True,30,True,False
BAP117,vis,142,74,68,0,aud,True,30,True,False
BAP120,vis,150,75,75,0,aud,True,90,True,False
BAP122,vis,139,74,65,0,aud,True,30,True,False
BAP123,aud,148,75,73,0,vis,False,0,True,False
BAP123,vis,150,75,75,0,aud,False,0,True,False
BAP124,aud,142,71,71,0,vis,False,0,True,False
BAP124,vis,143,74,69,0,aud,False,0,True,False
BAP125,aud,147,72,75,0,vis,True,60,True,False
BAP129,vis,150,75,75,0,aud,True,30,True,False
BAP132,vis,120,60,60,0,aud,True,90,True,False
BAP133,vis,149,75,74,0,aud,True,60,True,False
BAP135,aud,145,75,70,0,vis,True,30,True,False
BAP136,aud,141,72,69,0,vis,True,30,True,False
BAP139,vis,140,69,71,0,aud,True,60,True,False
BAP140,vis,148,75,73,0,aud,True,30,True,False
BAP145,aud,148,75,73,0,vis,True,30,True,False
BAP146,aud,143,73,70,0,vis,True,30,True,False
BAP147,vis,150,75,75,0,aud,True,30,True,False
BAP149,aud,149,75,74,0,vis,True,20,True,False
BAP151,aud,147,74,73,0,vis,False,0,True,False
BAP151,vis,144,73,71,0,aud,False,0,True,False
BAP156,vis,119,73,46,0,aud,True,30,True,False
BAP157,aud,146,74,72,0,vis,True,30,True,False
BAP158,aud,148,75,73,0,vis,False,0,True,False
BAP158,vis,150,75,75,0,aud,False,0,True,False
BAP159,aud,142,73,69,0,vis,False,0,True,False
BAP159,vis,148,75,73,0,aud,False,0,True,False
BAP165,vis,146,75,71,0,aud,True,60,True,False
BAP166,aud,149,74,75,0,vis,False,0,True,False
BAP166,vis,150,75,75,0,aud,False,0,True,False
BAP169,aud,148,74,74,0,vis,True,60,True,False
BAP170,aud,119,59,60,0,vis,False,0,True,False
BAP170,vis,149,74,75,0,aud,False,0,True,False
BAP171,aud,150,75,75,0,vis,False,0,True,False
BAP171,vis,145,73,72,0,aud,False,0,True,False
BAP172,aud,128,62,66,0,vis,False,0,True,False
BAP173,aud,141,72,69,0,vis,False,0,True,False
BAP173,vis,146,73,73,0,aud,False,0,True,False
BAP176,aud,131,73,58,0,vis,True,30,True,False
BAP177,aud,147,75,72,0,vis,False,0,True,False
BAP177,vis,147,74,73,0,aud,False,0,True,False
BAP180,vis,148,75,73,0,aud,True,150,True,False
BAP191,aud,148,75,73,0,vis,False,0,True,False
BAP191,vis,146,74,72,0,aud,False,0,True,False
BAP194,aud,145,74,71,0,vis,True,60,True,False
BAP197,aud,140,72,68,0,vis,False,0,True,False
BAP197,vis,145,74,71,0,aud,False,0,True,False
BAP199,aud,146,75,71,0,vis,False,0,True,False
BAP199,vis,148,74,74,0,aud,False,0,True,False
BAP202,aud,146,74,72,0,vis,False,0,True,False
BAP202,vis,147,74,73,0,aud,False,0,True,False
